Station,Lat,Long
Narahenpita Railway Station,6.8969499999999995,79.87787999999999
Nattandiya Railway Station,7.4143224,79.8660175
Navatkuli Railway Station,9.6617193,80.0813895
Negama Railway Station,7.9811651999999995,80.48709509999999
Negombo,7.210421900000001,79.84189239999999
Nelumpokuna Railway Station,7.477001,79.8445934
Neriyakulam Railway Station,8.6145064,80.3621434
Noor Nagar,8.0360366,79.8398016
Nugegoda,6.872100700000001,79.89100230000001
Ohiya,6.817632,80.84310459999999
Omantai Railway Station,8.8652702,80.5011928
Palai,9.6078587,80.33014299999999
Palawi,7.9817323,79.8328118
Palugaswewa Railway station,8.0587494,80.71204259999999
Panadura,6.71238,79.90467
Pannipitiya Railway Station,6.847192199999999,79.9489139
Paranthan,9.4401612,80.4071009
Parasangahawewa Railway Station,8.445062,80.4315922
Pattam Paha Sub Railway Station,7.3804368999999985,80.6621369
Pattipola,6.855845899999999,80.8306915
Payagala North Railway Station,6.5316038999999995,79.9750346
Payagala South,6.52168,79.97888999999999
Peradeniya Railway Station,7.257452700000001,80.5902036
Perakum Uyana Railway Station,7.9736321000000006,81.0176146
Periyanagavillu Railway Station,8.2283739,79.8666143
Piladuwa,5.95366,80.55669
Pilimathalawa Railway Station,7.26689,80.5526215
Pinnawala Sub Railway Station,6.8691461,80.11726949999999
Piyagama,6.327495,80.0340781
Polonnaruwa Railway Station,7.9301254000000005,81.0333351
Polwathumodara,5.9642428999999995,80.45740839999999
Pulichchakulama Railway Station,7.757209999999999,79.82811
Puliyankulam,8.9598477,80.5223608
Punanai,7.9636603,81.3872311
Punewa Sub Railway Station,8.612739999999999,80.46285999999999
Pungankulam,9.659315399999999,80.0382649
Puttalam,8.0226826,79.8378718
Puwakpitiya,6.9339767,80.1874347
Puwakpitiya Town,6.9381816999999995,80.19299280000001
Ragama,7.0300132,79.92143329999999
Railway Station Anuradhapura,8.344419499999999,80.41083619999999
Railway Station Haputale,6.7682933,80.9576082
Railway Station Padukka,6.8427956,80.0911663
Randenigama Railway Station,7.848491800000001,80.25930579999999
Randles Hill Railway Station,7.2786354,80.61809149999999
Rathgama,6.093286,80.13997169999999
Richmond Hill,6.0538935,80.20468939999999
Rideethenna Railway station,7.9638333,81.3394029
Saliyapura Railway Station,8.3898916,80.4222929
Sangaththanai,9.6645044,80.1732778
Sarasavi Uyana Railway Station,7.260023500000001,80.5965547
Sawarana,7.5582196,79.8088932
Secretariat Halt,6.93199,79.84611
Senarathgama Railway Station,8.0858141,80.2777186
Sewanapitiya Railway Station,7.921447099999999,81.18380359999999
Slave Island Railway Station,6.9235754,79.84967929999999
Sravasthipura Railway Station,8.29881,80.37707
Suduhumpola Train Halt,7.2847351,80.6259819
Talawakele Railway Station,6.9400593,80.6610578
Talpe,5.9984611999999995,80.28013589999999
Tambalagamuwa,8.4984498,81.09546569999999
Tellippalai Railway Station,9.784939999999999,80.03514
Telwatta Railway Station,6.169107599999999,80.0889963
Thalawa Railway Station,8.231835499999999,80.3483176
Thambuttegama,8.1543233,80.3038466
Thandikulam,8.7783345,80.4848957
Thatchchanthoppu,9.657204499999999,80.10882629999999
Thiranagama,6.1222441,80.1144585
Timbiriyagedara,7.7813631,80.2977633
Train Halt 01,6.6325335999999995,79.9403282
Trincomalee Railway Station,8.5844423,81.22615189999999
Uduwara Railway Station,6.931507099999999,81.0421193
Unawatuna Railway Station,6.0219615,80.2491456
Valaichchena Railway Station,7.9102777,81.5318128
Vavuniya,8.7537264,80.4936176
Wadduwa Railway Station,6.6627573,79.9285841
Waga,6.901008699999999,80.1270837
Walgama Railway Station,5.9454006999999995,80.5141908
Wanawasala Railway Station,6.975709999999999,79.89923
Watawala Railway Station,6.961998299999999,80.5260086
Wattegama Railway Station,7.3505608,80.68258759999999
Weligama Railway Station,5.975639999999999,80.42963
Welikanda,7.947087600000001,81.2504335
Wellawatte,6.8750326,79.85744919999999
Wewrukannala,5.9796,80.69888
Yagoda,7.0746951,79.97384939999999
Ganemulla,7.068559199999999,79.9599575
Gampaha Railway Station,7.0935464999999995,79.9937296
Bulugahagoda,7.0660845,79.94564679999999
Batuwatta Railway Station,7.0550971,79.9371954
Daraluwa Railway Station,7.1071528,80.0104558
Walpola,7.047149999999999,79.93110999999999
Bemmulla,7.122427900000001,80.0204807
Peralanda Railway Station,7.0380125,79.91236210000001
Kandana,7.0492992999999995,79.901585
Horape,7.0166204,79.9183961
Kapuwatta Railway Station,7.0629149,79.896065
Ja-Ela Railway Station,7.0777784,79.8919894
Magalegoda,7.1338319,80.036248
Tudella Railway Station,7.0929636,79.8909473
Alawathupitiya Railway Station,7.115814899999999,79.8870192
Enderamulla Railway Station,7.00034,79.90687
Seeduwa,7.1289400999999994,79.8824662
Hunupitiya Railway Station,6.9876420999999995,79.9003887
Bulugahagoda,7.066083918621785,79.94564503905593
Heendeniya Pattigoda,7.141142187837504,80.0471147718009
Mirigama Railway Station,7.242529999999999,80.12666
Wilwatta Railway Station,7.256348399999999,80.1352215
Wijayarajadahana Railway Station,7.2307634,80.118512
Botale Railway Station,7.256678300000001,80.1531708
Ambepussa Railway Station,7.256103599999999,80.16932849999999
Ganegoda Railway Station,7.212889999999999,80.10508999999999
Pallewela Railway Station,7.198734599999999,80.09001020000001
Yaththalgoda,7.2705440999999995,80.194403
Keenawala Railway Station,7.1854707,80.0744979
Bujjomuwa,7.2731762999999985,80.2106113
